;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Referente;Doc;C Nr / Pedido;Op/Proj;Classificação;Categoria;Prestador;Estab;CNPJ;Cod Datasul;Situação;Status;Valor R$
;2020;jan;10/01/20;09/01/20;10/01/20;CONTRATO;ILOC3 LOCAÇÕES - I7;P 01/12;NF 1 - I7;2;951;0;INFRA;Locação;ILOC3 LOCAÇÕES E SERVIÇOS LTDA;I7 NÚCLEO;35.665.923/0001-47;2446;INATIVO;LANÇADO; 1.655,00 
;2020;jan;14/01/20;09/01/20;25/01/20;CONTRATO;BELLFONE - 2;Parcela;Serviços de telefonia;2500;633;0;CONECTIVIDADE;Locação;BELLFONE DIST PROD TELECOM INF LTDA;EQUIPLEX;57.621.229/0001-60;4884;INATIVO;LANÇADO; 3.296,37 
;2020;jan;13/01/20;13/01/20;28/01/20;CONTRATO;SANTODIGITAL 1;P 01/12;G Suite Business - Licenca;66500;958;O;SISTEMAS;Consultoria Software;SANTODIGITAL DIST E CONSULT INFORM LTDA;I7 NÚCLEO;16.895.942/0001-15;261222;ATIVO;LANÇADO; 4.943,72 
;2020;jan;13/01/20;13/01/20;23/01/20;CONTRATO;VALCANAIA;Demanda;Consultoria Financeira;119;999;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 6.268,00 
;2020;jan;17/01/20;16/01/20;23/02/20;CONTRATO;TOTVS 00 - TICKETS;Manutenção Datasul - ERP;TICKETS;702642;134;O;DATASUL;Consultoria Software;TOTVS S.A.;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 431,92 
;2020;jan;20/01/20;16/01/20;15/11/19;CONTRATO;NEOMIND - P3916/18;Taxa de Manutenção;Licença de Uso Fusion;10213;954;O;SISTEMAS;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 1.985,90 
;2020;jan;21/01/20;21/01/20;05/02/20;CONTRATO;LOCAWEB;Demanda;Hospedagem - tx anual;33407319;171;0;NET DOMINIOS;Internet;LOCAWEB - HOSPED INTERNET;EQUIPLEX;02.351.877/0001-52;260134;INATIVO;LANÇADO; 1.114,80 
;2020;jan;21/01/20;21/01/20;10/02/20;CONTRATO;DIGITAL WORLD;Demanda;Loc.Impressoras e serviços;63021;950;0;LOCAÇÃO;Locação;DIGITAL WORLD REPR. COM E SERV. LTDA;I7 NÚCLEO;05.022.145/0001-07;23707;INATIVO;LANÇADO; 1.547,72 
;2020;jan;27/01/20;27/01/20;05/02/20;CONTRATO;VALCANAIA;Demanda;Consultoria Financeira;122;999;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 6.480,00 
;2020;jan;27/01/20;27/01/20;03/02/20;CONTRATO;CARLOS DIAS (MGC);Demanda;Consultoria Servidores;1105;980;O;TERCEIROS;Consultoria;CARLOS DIAS OLIVEIRA DOMINGUES;I7 NÚCLEO;11.083.929/0001-48;499;ATIVO;LANÇADO; 14.640,00 
