;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Descrição;Doc;C Nr / Pedido;Conta;Op/Proj;Classificação;Categoria;Prestador;Descrição2;Estab;CNPJ;Cod Datasul;Situação;Status; Valor R$ 
;2024;jan;11/01/24;02/01/24;22/01/24;CONTRATO;CLARO - CHIP;P 01/12;ADITIVO CHIP;57856109;1275;4210508;O;CONECTIVIDADE;Telefonia;CLARO S.A.;Serviços de Celular;I7 NÚCLEO;40.432.544/0436-28;261010;ATIVO;LANÇADO; 39,99 
;2024;jan;03/01/24;03/01/24;11/01/24;CONTRATO;CARLOS DIAS (MGC);Demanda;Consultoria de Servidores;1464;980;4210317;O;SUPORTE  INFRA;Consultoria;CARLOS DIAS OLIVEIRA DOMINGUES;Consultoria Servidores;I7 NÚCLEO;11.083.929/0001-48;499;ATIVO;LANÇADO; 1.383,67 
;2024;jan;04/01/24;04/01/24;01/02/24;PEDIDO;TELEMATICA;Demanda;Prestação de serviços;10382;66065;4210317;0;0;Consultoria;TELEMATICA SISTEMAS INTELIGENTES LTDA;0;EQUIPLEX;44.772.937/0001-50;2202;ATIVO;LANÇADO; 773,88 
;2024;jan;04/01/24;04/01/24;17/01/24;CONTRATO;VALIDEINFO WEB;P 01/12;Serviços Consulta Web;1143;778;4210317;O;REGULATÓRIO;Consultoria;VALIDEINFO WEB;Serviços de Dados;I7 NÚCLEO;13.342.264/0001-75;2108;ATIVO;LANÇADO; 150,00 
;2024;jan;05/01/24;05/01/24;15/01/24;CONTRATO;JETTELECOM - APARECIDA;P 01/12;Internet - Transplex;55929;1374;4210508;0;0;Internet;RD SERV DE TELECOM;Comunicação Equiplex / Transplex;TRANSPLEX;07.426.902/0001-33;10594;INATIVO;LANÇADO; 2.800,00 
;2024;jan;09/01/24;05/01/24;17/01/24;PEDIDO;CLICKBIS;Demanda;Serviços de Terceiros;29;66177;4210317;0;0;Consultoria;CLICKBIS LTDA;Terceiro do Valcanaia;I7 NÚCLEO;39.332.525/0001-60;13244;ATIVO;LANÇADO; 15.840,60 
;2024;jan;05/01/24;05/01/24;05/02/24;CONTRATO;ACTTIVE - DOCNIX;P 01/12;Licença de Uso;13893;640;4210317;O;REGULATÓRIO;Consultoria Software;ACTTIVE LTDA;Docnix - Gestão de Documentos / Garantia;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 3.215,86 
;2024;jan;05/01/24;05/01/24;22/01/24;CONTRATO;TOTVS 01 - A42305/05;P 01/12;TOTVS 1 - A42305/05;1059362;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 01 - A42305/05;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 3.345,95 
;2024;jan;05/01/24;05/01/24;30/01/24;CONTRATO;TOTVS 00 - TICKETS;P 01/12;Tickets;1062550;134;4210317;O;SUPORTE;Consultoria Software;TOTVS S.A.;TOTVS 00 - TICKETS;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 4.596,56 
;2024;jan;09/01/24;09/01/24;05/02/24;CONTRATO;INGRAM - OFFICE 365;P 01/12;Office 365 Licença;2004718;627;4210302;O;LICENCAS MICROSOFT;Consultoria Software;INGRAM - MICROSOFT;Office 365 Licença;EQUIPLEX;01.771.935/0002-15;261179;ATIVO;LANÇADO; 2.977,47 
