;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Descrição;Doc;C Nr / Pedido;Conta;Op/Proj;Classificação;Categoria;Prestador;Descrição2;Estab;CNPJ;Cod Datasul;Situação;Status; Valor R$ 
;2024;abr;04/04/24;04/04/24;15/04/24;CONTRATO;OI - TELECOM GERAL - 0800;P 04/12;OI - 0800;16.966.644;956;4210309;O;CONECTIVIDADE;Telefonia;OI S.A.;Serviços de Telefonia;EQUIPLEX;76.535.764/0328-51;20119;ATIVO;LANÇADO; 281,40 
;2024;abr;04/04/24;04/04/24;05/05/24;CONTRATO;ACTTIVE - DOCNIX;P 04/12;Licença de Uso;14584;640;4210317;O;REGULATÓRIO;Consultoria Software;ACTTIVE LTDA;Docnix - Gestão de Documentos / Garantia;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 5.143,20 
;2024;abr;04/04/24;04/04/24;24/04/24;CONTRATO;FEEDZ;P 04/12;CDU-Licenciamento;50452;1333;4210317;O;LICENCAS SISTEMAS RH;Consultoria Software;FEEDZ TECNOLOGIA LTDA (SUBST 1316);CDU-LICENCIAMENTO OU CESSAO DE DIREITO;I7 NÚCLEO;30.457.205/0001-61;12617;ATIVO;LANÇADO; 8.080,00 
;2024;abr;04/04/24;04/04/24;13/04/24;CONTRATO;VALCANAIA;P 04/12;Consultoria Financeira;302;999;4210317;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 3.220,00 
;2024;abr;08/04/24;08/04/24;06/05/24;PEDIDO;PRIMETEK;Demanda;15 fones de ouvido;264366;68510;4210302;0;0;Consultoria;REGIA COM. DE INFORMATICA LTDA;;I7 NÚCLEO;07.851.862/0001-77;23670;ATIVO;LANÇADO; 3.154,95 
;2024;abr;10/04/24;10/04/24;24/04/24;PEDIDO;TEAM VIEWER;Demanda;Team Viewer Conx Remota;2950686;68076;4210317;0;0;Consultoria Software;PPRO BRASIL LTDA;;I7 NÚCLEO;21.041.840/0001-72;14345;ATIVO;LANÇADO; 7.186,98 
;2024;abr;10/04/24;10/04/24;18/04/24;PEDIDO;NEOGRID;Demanda;15 fones de ouvido;373165;68076;4210317;0;0;Consultoria Software;NEOGRID INFORMATICA LTDA;;EQUIPLEX;05.794.609/0001-01;8915;ATIVO;LANÇADO; 1.008,60 
;2024;abr;10/04/24;10/04/24;07/05/24;CONTRATO;INGRAM - OFFICE 365;P 04/12;Office 365 Licença;2062379;627;4210302;O;LICENCAS MICROSOFT;Consultoria Software;INGRAM - MICROSOFT;Office 365 Licença;EQUIPLEX;01.771.935/0002-15;261179;ATIVO;LANÇADO; 438,59 
;2024;abr;10/04/24;10/04/24;20/04/24;CONTRATO;CLARO NET - HT3;P 04/12;Internet HT3;6382795;1073;4210317;O;CONECTIVIDADE HT3;Internet;CLARO NEXT TELECOMUNICAÇÕES S.A.;Serviços de Internet HT3;I7 NÚCLEO;66.970.229/0019-96;23772;ATIVO;LANÇADO; 185,00 
;2024;abr;11/04/24;11/04/24;22/04/24;CONTRATO;EUAX-ARTIA;P 04/12;Licença de uso Programa Artia;45757;668;4210317;O;LICENCAS SISTEMAS;Consultoria Software;EUAX - ARTIA DESENVOLVIMENTO DE SISTEMAS LTDA;Referente cessao de direito de uso do programa Artia.;I7 NÚCLEO;17.400.505/0001-46;1354;ATIVO;LANÇADO; 588,00 
;2024;abr;12/04/24;12/04/24;04/04/24;PEDIDO;REGISTRO BR;Demanda;Taxa anual;428969826;68787;4210302;O;SITES;Internet;NUCLEO DE INFORM E COORD DO PONTO BR;;EQUIPLEX;05.506.560/0001-36;23706;ATIVO;LANÇADO; 76,00 
;2024;abr;12/04/24;12/04/24;22/04/24;CONTRATO;CLARO - CHIP;P 04/12;ADITIVO CHIP;61271691;1275;4210508;O;CONECTIVIDADE;Telefonia;CLARO S.A.;Serviços de Celular;I7 NÚCLEO;40.432.544/0436-28;261010;ATIVO;LANÇADO; 42,77 
;2024;abr;12/04/24;12/04/24;15/05/24;CONTRATO;CORE TELECOM;P 04/12;Locação de Firewall;4161;1064;4210317;0;0;Consultoria;CORE SERVIÇOS E INFORMATICA;Locação de Firewall;I7 NÚCLEO;11.527.773/0001-47;9488;INATIVO;LANÇADO; 988,70 
;2024;abr;12/04/24;12/04/24;13/05/24;CONTRATO;TOTVS 02 - 400003/01;P 04/12;TOTVS 2 - 400003/01;1092248;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 02 - 400003/01;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 1.704,00 
;2024;abr;12/04/24;12/04/24;13/05/24;CONTRATO;TOTVS 03 - 365084/01 - 400003/01;P 04/12;TOTVS 3 - 365084/01 - 400003/01;1092285;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 03 - 365084/01 - 400003/01;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 10.389,29 
;2024;abr;12/04/24;12/04/24;14/05/24;CONTRATO;TOTVS 06 - AACMBM/02 - AAD762/02 - AAETUY/01 - AAIIIF/01 - AAIZC5/01 - AAJQD4/01 - AAKFPN/01 - AALITT/01 - AAHVOT/03 - AAIBOR/04 - AADEV1/08;P 04/12;TOTVS6 - AACMBM/02 - AAD762/02 - AACMP4/01 - AADVE1/08;1092322;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 06 - AACMBM/02 - AAD762/02 - AACMP4/01 - AADVE1/08;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 4.838,88 
;2024;abr;12/04/24;12/04/24;14/05/24;CONTRATO;TOTVS 08 - AAHVOT/03;P 04/12;TOTVS 8 - AAHVOT/03;1092306;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 08 - AAHVOT/03;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 1.421,48 
;2024;abr;12/04/24;12/04/24;23/05/24;CONTRATO;TOTVS 04 - 943448/02;P 04/12;TOTVS 4 - 943448/02;1092542;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 04 - 943448/02;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 3.886,94 
;2024;abr;12/04/24;12/04/24;20/05/24;CONTRATO;TOTVS 05 - A48004/04;P 04/12;TOTVS5 - A48004/04;1092526;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 05 - A48004/04;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 4.642,20 
;2024;abr;12/04/24;12/04/24;24/05/24;CONTRATO;TOTVS 07 - AACRAH/03;P 04/12;TOTVS7 - AACRAH/03;1092593;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 07 - AACRAH/03;EQUIPLEX;53.113.791/0017-90;325;INATIVO;LANÇADO; 2.686,85 
;2024;abr;12/04/24;12/04/24;19/04/24;CONTRATO;CLICKSIGN;P 04/12;Certificação Digital;245423;1334;4210317;O;REGULATÓRIO;Consultoria Software;CLICKSIGN GESTAO DE DOCUMENTOS S/A;Plataforma de Assinaturas e Documentos;I7 NÚCLEO;12.499.520/0001-70;1385;ATIVO;LANÇADO; 268,51 
;2024;abr;15/04/24;13/04/24;21/04/24;CONTRATO;TSPLUS BRASIL;P 04/12;Link Radio - Acesso Internet;5194;1531;4210317;O;CONECTIVIDADE;Consultoria;TSPLUS BRASIL CONSULT TECN LTDA;Licenciamento Software Conexão Remota;I7 NÚCLEO;54.377.434/0001-34;9762;ATIVO;LANÇADO; 3.570,80 
;2024;abr;24/04/24;15/04/24;09/05/24;PEDIDO;DLC SOLUÇÕES;Demanda;Serviço de Internet;6331;69088;4210302;0;0;Consultoria;DLC SOLUCOES EM TECNOLOGIA LTDA;;HOSPDROGAS;01.890.798/0001-57;8520;ATIVO;LANÇADO; 7.280,00 
;2024;abr;30/04/24;15/04/24;20/05/24;CONTRATO;SUPERI - G8NET - I7;P 04/12;Serviço de Internet;14701;1008;4210508;O;CONECTIVIDADE;Internet;SUPERI TELECOM LTDA;Serviços de Telefonia / Internet;I7 NÚCLEO;10.455.507/0001-93;9241;ATIVO;LANÇADO; 1.700,00 
;2024;abr;15/04/24;15/04/24;28/05/24;CONTRATO;NEOMIND - P15110/21;P 04/12;Taxa de Manutenção;19543;954;4210317;O;BPM;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;Tx.Manutenção - Proposta 15110/21;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 997,68 
;2024;abr;15/04/24;15/04/24;28/05/24;CONTRATO;NEOMIND - P3916/18;P 04/12;Licença de Uso Fusion;19544;954;4210317;O;BPM;Consultoria Software;NEOMIND SOLUTIONS INFORMATICA LTDA;Tx.Manutenção - Proposta 3916/18;I7 NÚCLEO;08.032.121/0001-27;909;ATIVO;LANÇADO; 2.464,96 
;2024;abr;16/04/24;16/04/24;14/05/24;PEDIDO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;791;66829;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 6.000,00 
;2024;abr;16/04/24;16/04/24;16/05/24;CONTRATO;ENTERNESS;P 04/12;Gestão de Whatsapp;1259;1271;4210317;O;WHATSAPP GRUPO;Consultoria Software;ENTERNESS COM MAQ E EQUIP INFORM LTDA;Setup Easy Channel Omni;H.SOLUÇÕES;08.348.958/0001-80;11891;ATIVO;LANÇADO; 5.680,00 
;2024;abr;18/04/24;18/04/24;03/05/24;CONTRATO;DW SERVICE;P 04/12;Loc.Impressoras e serviços;5284;1260;4210318;O;IMPRESSORSA GRUPO;Locação;DW SERVICE LTDA;Locação de Impressoras e serviços;I7 NÚCLEO;08.906.780/0001-45;2266;ATIVO;LANÇADO; 5.021,46 
;2024;abr;18/04/24;18/04/24;03/05/24;CONTRATO;DW SERVICE;P 04/12;Loc.Impressoras e serviços;5285;1260;4210318;O;IMPRESSORSA GRUPO;Locação;DW SERVICE LTDA;Locação de Impressoras e serviços;I7 NÚCLEO;08.906.780/0001-45;2266;ATIVO;LANÇADO; 675,00 
;2024;abr;22/04/24;19/04/24;21/05/24;PEDIDO;VALCANAIA;Demanda;Serviço de criação 035-THALES;303;66827;4210317;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 22.000,00 
;2024;abr;24/04/24;19/04/24;17/05/24;CONTRATO;ENTERNESS;P 04/12;Gestão de Whatsapp;1283;1271;4210317;O;WHATSAPP GRUPO;Consultoria Software;ENTERNESS COM MAQ E EQUIP INFORM LTDA;Setup Easy Channel Omni;H.SOLUÇÕES;08.348.958/0001-80;11891;ATIVO;LANÇADO; 4.385,41 
;2024;abr;24/04/24;19/04/24;17/05/24;CONTRATO;ENTERNESS;P 04/12;Gestão de Whatsapp;1284;1271;4210317;O;WHATSAPP GRUPO;Consultoria Software;ENTERNESS COM MAQ E EQUIP INFORM LTDA;;H.SOLUÇÕES;08.348.958/0001-80;11891;ATIVO;LANÇADO; 1.879,46 
;2024;abr;22/04/24;22/04/24;29/04/24;CONTRATO;MINERVA CONSTRUTORA;Demanda;1ª Medição Serviços Lab SAP;437;1414;4210317;M;SPOT;Consultoria;MINERVA CONSTRUTORA LTDA;;EQUIPLEX;33.082.857/0001-57;13764;ATIVO;LANÇADO; 71.228,29 
;2024;abr;22/04/24;22/04/24;27/04/24;CONTRATO;VIVO - EQUIPLEX;P 04/12;NF 1 - PRINCIPAL;220424;1112;4210508;O;CONECTIVIDADE;Internet;TELEFONICA BRASIL S.A.;Serviços de Internet - EQUIPLEX;EQUIPLEX;02.558.157/0022-97;261618;ATIVO;LANÇADO; 1.537,43 
;2024;abr;22/04/24;22/04/24;27/04/24;CONTRATO;VIVO - EQUIPLEX - MONITORA;P 04/12;NF 2 - MONITORAMENTO;1657589;1112;4210508;O;CONECTIVIDADE;Internet;TELEFONICA BRASIL S.A.;Serviços de Internet - EQUIPLEX;EQUIPLEX;02.558.157/0022-97;261618;ATIVO;LANÇADO; 52,51 
;2024;abr;23/04/24;23/04/24;02/05/24;CONTRATO;VALCANAIA;P 04/12;Enviado - THALES;304;999;4210317;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;Consultoria Financeira;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 9.565,00 
;2024;abr;23/04/24;23/04/24;30/04/24;CONTRATO;CARLOS DIAS (MGC);Demanda;Servidores - THALES;1503;980;4210317;O;SUPORTE  INFRA;Consultoria;CARLOS DIAS OLIVEIRA DOMINGUES;Consultoria Servidores;I7 NÚCLEO;11.083.929/0001-48;499;ATIVO;LANÇADO; 9.957,00 
;2024;abr;24/04/24;24/04/24;03/05/24;CONTRATO;VOGEL-ALGAR - EQUIPLEX;P 04/12;Internet - THALES;48615;1208;4210508;O;CONECTIVIDADE;Internet;VOGEL SOL. EM TEL. E INF. S/A;Serviços de Internet;EQUIPLEX;05.872.814/0018-88;11460;ATIVO;LANÇADO; 1.743,57 
;2024;abr;30/04/24;25/04/24;15/05/24;CONTRATO;PROX-VELOMAX - TRANSPLEX;P 04/12;Acesso internet - Transplex;10718;1163;4210508;0;0;Internet;PROX TELECOM LTDA;Serviços de Telefonia / Internet;TRANSPLEX;02.519.244/0001-00;10911;INATIVO;LANÇADO; 239,00 
;2024;abr;29/04/24;26/04/24;13/05/24;CONTRATO;SANTODIGITAL 1;Demanda;G Suite Business - Licenca;24829;958;4210317;O;LICENCAS GOOGLE;Consultoria Software;SANTODIGITAL DIST E CONSULT INFORM LTDA;G Suite Business Licença;I7 NÚCLEO;16.895.942/0001-15;261222;ATIVO;LANÇADO; 1.848,00 
;2024;abr;29/04/24;29/04/24;05/05/24;CONTRATO;HCOMPANY-TRANSPLEX-LOC;P 04/12;Contrato Locação - Transplex;2042024;1213;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;TRANSPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 131.354,13 
;2024;abr;29/04/24;29/04/24;05/05/24;CONTRATO;HCOMPANY-EQUIPLEX-LOC;P 04/12;Contrato Locação - Equiplex;1042024;1215;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;EQUIPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 203.626,06 
;2024;abr;29/04/24;29/04/24;05/05/24;CONTRATO;HCOMPANY-HOSPDROGAS-LOC;P 04/12;Contrato Locação - Hospdrogas;3042024;1214;4210330;O;LOCACAO EQUIPAMENTOS;Locação;H.COMPANY LTDA;Prestação de Serviços;HOSPDROGAS;46.448.859/0001-69;11283;ATIVO;LANÇADO; 168.074,87 
;2024;abr;30/04/24;30/04/24;27/05/24;CONTRATO;INGRAM - OFFICE 365;P 04/12;Aditivo - THALES;2079311;627;4210302;O;LICENCAS MICROSOFT;Consultoria Software;INGRAM - MICROSOFT;Office 365 Licença;EQUIPLEX;01.771.935/0002-15;261179;ATIVO;LANÇADO; 23.768,94 
;2024;abr;30/04/24;30/04/24;04/05/24;CONTRATO;HCOMPANY-TRANSPLEX-SERV;P 04/12;Prestação de Serviços;47;1212;4210317;O;LOCACAO EQUIPAMENTOS;Consultoria;H.COMPANY LTDA;Locação de Equipamentos de TI;TRANSPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 203.890,00 
;2024;abr;30/04/24;30/04/24;04/05/24;CONTRATO;HCOMPANY-HOSPDROGAS-SERV;P 04/12;Prestação de Serviços;48;1211;4210317;O;LOCACAO EQUIPAMENTOS;Consultoria;H.COMPANY LTDA;Locação de Equipamentos de TI;HOSPDROGAS;46.448.859/0001-69;11283;ATIVO;LANÇADO; 197.060,00 
;2024;abr;30/04/24;30/04/24;04/05/24;CONTRATO;HCOMPANY-EQUIPLEX-SERV;P 04/12;Prestação de Serviços;46;1210;4210317;O;LOCACAO EQUIPAMENTOS;Consultoria;H.COMPANY LTDA;Locação de Equipamentos de TI;EQUIPLEX;46.448.859/0001-69;11283;ATIVO;LANÇADO; 102.560,00 
;2024;mai;02/05/24;02/05/24;13/05/24;CONTRATO;C&C COMPUTER CLOUD;P 05/12;Computação na Nuvem;6628;897;4210318;O;AMBINETE SISTEMAS;Cloud;C&C COMPUTAÇÃO E COMUN.INFORMATICA LTDA;Computação na Nuvem;I7 NÚCLEO;69.159.291/0001-61;8815;ATIVO;LANÇADO; 52.161,52 
;2024;mai;02/05/24;02/05/24;13/05/24;CONTRATO;C&C COMPUTER CLOUD;P 05/12;Computação na Nuvem;6629;897;4210318;O;AMBINETE SISTEMAS;Cloud;C&C COMPUTAÇÃO E COMUN.INFORMATICA LTDA;Computação na Nuvem;I7 NÚCLEO;69.159.291/0001-61;8815;ATIVO;LANÇADO; 2.800,00 
;2024;mai;02/05/24;02/05/24;17/05/24;CONTRATO;HPFS - LOCAÇÃO DESKTOP;P 05/12;Locação Desktops;20524;715;4210411;O;LEASING EQUIPAMENTOS;Locação;HP FIN SERV ARREND MERC;Locação de Desktops;I7 NÚCLEO;97.406.706/0001-90;1639;ATIVO;LANÇADO; 25.555,50 
;2024;mai;;02/05/24;14/05/24;CONTRATO;HPFS - LOCAÇÃO NOTEBOOKS;P 05/12;CONTRATO VENCIDO - Locação Notebooks;;1011;4210411;0;0;Locação;HP FIN SERV ARREND MERC;Locação de Notebooks;I7 NÚCLEO;97.406.706/0001-90;1639;INATIVO;ABERTO; 1.857,27 
;2024;mai;02/05/24;02/05/24;12/06/24;CONTRATO;VIRTOS BACKUP;P 05/12;Backup na Nuvem;29148;516;4210317;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;Backup na Nuvem;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 360,00 
;2024;mai;02/05/24;02/05/24;15/05/24;CONTRATO;CLARO CELULAR;P 05/12;Claro Celular;62078667;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 4.359,40 
;2024;mai;02/05/24;02/05/24;15/05/24;CONTRATO;CLARO CELULAR;P 05/12;Claro Celular;62078839;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 64,74 
;2024;mai;02/05/24;02/05/24;15/05/24;CONTRATO;CLARO CELULAR;P 05/12;Claro Celular;27604067;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 44,23 
;2024;mai;02/05/24;02/05/24;20/05/24;CONTRATO;ALLE TECNOLOGIA;P 05/12;Gestão de ERP Totvs 12;4707;994;4210302;O;SUPORTE ERP;Consultoria Software;ALLE TECNOLOGIA LTDA ME;Gestão de Datasul;I7 NÚCLEO;21.067.649/0001-08;1082;ATIVO;LANÇADO; 800,00 
;2024;mai;02/05/24;02/05/24;20/05/24;CONTRATO;OPTIDATA - AMPLIDRIVE;P 05/12;Amplidrive;34422;1145;4210317;O;CANCELADO;Consultoria Software;OPTIDATA LTDA;Licença de Uso Amplidrive;I7 NÚCLEO;01.687.282/0001-00;10726;INATIVO;LANÇADO; 2.072,31 
;2024;mai;02/05/24;02/05/24;20/05/24;CONTRATO;MINERVA CONSTRUTORA;P 02/12;;438;1414;4210317;M;SPOT;Consultoria;MINERVA CONSTRUTORA LTDA;;EQUIPLEX;33.082.857/0001-57;13764;ATIVO;LANÇADO; 65.383,38 
;2024;mai;02/05/24;02/05/24;11/05/24;CONTRATO;HUB CERRADO LTDA;P 05/12;Aluguel de Sala Comercial;1400;1312;4210318;0;0;Aluguel;HUB DO CERRADO;Aluguel de Sala Comercial;I7 NÚCLEO;34.119.623/0001-08;12408;INATIVO;LANÇADO; 31.000,00 
;2024;mai;03/05/24;03/05/24;15/05/24;CONTRATO;JETTELECOM - APARECIDA;P 05/12;Internet - Transplex;339;1374;4210508;0;0;Internet;RD SERV DE TELECOM;Comunicação Equiplex / Transplex;TRANSPLEX;07.426.902/0001-33;10594;INATIVO;LANÇADO; 1.120,00 
;2024;mai;03/05/24;03/05/24;15/05/24;CONTRATO;JETTELECOM - APARECIDA;P 05/12;Internet - Transplex;568;1374;4210508;0;0;Internet;RD SERV DE TELECOM;;TRANSPLEX;07.426.902/0001-33;10594;INATIVO;LANÇADO; 1.064,00 
;2024;mai;03/05/24;03/05/24;15/05/24;CONTRATO;JETTELECOM - APARECIDA;P 05/12;Internet - Transplex;56904;1374;4210508;0;0;Internet;RD SERV DE TELECOM;;TRANSPLEX;07.426.902/0001-33;10594;INATIVO;LANÇADO; 616,00 
;2024;mai;03/05/24;03/05/24;12/05/24;CONTRATO;GEORGELLIS;Demanda;Acompanhamento de Contratos;59;1365;4210317;O;CANCELADO;Consultoria;NUCLEO ASSESSOIA EMPRESARIAL;Domínio;I7 NÚCLEO;30.025.669/0001-07;2414;INATIVO;LANÇADO; 7.920,00 
;2024;mai;06/05/24;03/05/24;15/05/24;CONTRATO;OPENNEW;P 05/12;Telefonia-PABX;2258;1302;4210317;O;CONECTIVIDADE;Telefonia;OPENNEW TELECOMUNICACOES;Serviços de PABX NET;EQUIPLEX;20.733.925/0001-59;12223;ATIVO;LANÇADO; 3.000,00 
;2024;mai;06/05/24;03/05/24;15/05/24;CONTRATO;OPENNEW;P 05/12;Telefonia-PABX;2259;1302;4210317;O;CONECTIVIDADE;Telefonia;OPENNEW TELECOMUNICACOES;;EQUIPLEX;20.733.925/0001-59;12223;ATIVO;LANÇADO; 600,00 
;2024;mai;06/05/24;06/05/24;04/06/24;PEDIDO;VALCANAIA;Demanda;Parametrizacao filial 023;305;66826;4210317;P;DATASUL;Consultoria;VALCANAIA SUPORTE EM TECNOLOGIA;;I7 NÚCLEO;28.532.280/0001-06;8255;ATIVO;LANÇADO; 22.000,00 
;2024;mai;06/05/24;06/05/24;22/05/24;CONTRATO;TOTVS 01 - A42305/05;P 05/12;TOTVS 1 - A42305/05;1097146;134;4210317;0;0;Consultoria Software;TOTVS S.A.;TOTVS 01 - A42305/05;EQUIPLEX;53.113.791/0017-90;325;ATIVO;LANÇADO; 3.345,95 
;2024;mai;06/05/24;06/05/24;20/05/24;CONTRATO;ALGAR-PABX-EQUIPLEX;P 05/12;Internet-Voz;274329;1326;4210508;O;CONECTIVIDADE;Internet;ALGAR TELECOM S/A;Serviços de Internet;EQUIPLEX;71.208.516/0103-07;12588;ATIVO;LANÇADO; 819,67 
;2024;mai;;06/05/24;22/01/25;CONTRATO;ALGAR-PABX-EQUIPLEX;P 05/12;Internet-Voz;;1326;4210508;O;CONECTIVIDADE;Internet;ALGAR TELECOM S/A;;EQUIPLEX;71.208.516/0103-07;12588;ATIVO;ABERTO; 846,59 
;2024;mai;08/05/24;07/05/24;05/06/24;CONTRATO;VIRTOS BACKUP;Demanda;Backup na Nuvem;29205;516;4210317;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 429,83 
;2024;mai;07/05/24;07/05/24;04/06/24;PEDIDO;CONTI CONSULTORIA;Demanda;;923;66829;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 6.000,00 
;2024;mai;07/05/24;07/05/24;05/06/24;CONTRATO;ACTTIVE - DOCNIX;P 05/12;Licença de Uso;14795;640;4210317;O;REGULATÓRIO;Consultoria Software;ACTTIVE LTDA;Docnix - Gestão de Documentos / Garantia;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 5.143,20 
;2024;mai;07/05/24;07/05/24;24/05/24;CONTRATO;FEEDZ;P 05/12;CDU-Licenciamento;52078;1333;4210317;O;LICENCAS SISTEMAS RH;Consultoria Software;FEEDZ TECNOLOGIA LTDA (SUBST 1316);CDU-LICENCIAMENTO OU CESSAO DE DIREITO;I7 NÚCLEO;30.457.205/0001-61;12617;ATIVO;LANÇADO; 8.024,00 
;2024;mai;07/05/24;07/05/24;05/06/24;CONTRATO;SETI - I7;P 05/12;Internet Controlado Servidor Proxy;58941;1020;4210317;O;CONECTIVIDADE;Consultoria;SETI SEG E TECNOLOGIA INTERNET LTDA;Servidor Proxy Cloud;I7 NÚCLEO;05.348.924/0001-05;9268;ATIVO;LANÇADO; 1.588,74 
;2024;mai;10/05/24;07/05/24;20/05/24;CONTRATO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;963;991;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 4.177,70 
;2024;mai;10/05/24;07/05/24;20/05/24;CONTRATO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;63462;991;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 500,33 
;2024;mai;08/05/24;08/05/24;04/06/24;CONTRATO;INGRAM - OFFICE 365;P 05/12;Office 365 Licença;2081765;627;4210302;O;LICENCAS MICROSOFT;Consultoria Software;INGRAM - MICROSOFT;Office 365 Licença;EQUIPLEX;01.771.935/0002-15;261179;ATIVO;LANÇADO; 220,62 
;2024;mai;08/05/24;08/05/24;15/05/24;CONTRATO;SETI - I7;;;58111;1020;4210317;O;CONECTIVIDADE;Consultoria;SETI SEG E TECNOLOGIA INTERNET LTDA;;I7 NÚCLEO;05.348.924/0001-05;9268;ATIVO;LANÇADO; 1.588,74 
;2024;mai;08/05/24;08/05/24;04/06/24;PEDIDO;CONTI CONSULTORIA;Demanda;Backup na Nuvem;924;66833;4210317;O;SUPORTE SISTEMA RH;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 6.000,00 
;2024;mai;10/05/24;09/05/24;08/06/24;PEDIDO;PROGRESS;Demanda;;64796;69684;4210317;O;LICENCA DATASUL BANCO;Consultoria Software;PROGRESS SOFTWARE DO BRASIL LTDA;;EQUIPLEX;01.849.291/0001-50;21014;ATIVO;LANÇADO; 6.146,84 
;2024;mai;10/05/24;09/05/24;08/06/24;PEDIDO;PROGRESS;Demanda;;64795;69685;4210317;O;LICENCA DATASUL BANCO;Consultoria Software;PROGRESS SOFTWARE DO BRASIL LTDA;;EQUIPLEX;01.849.291/0001-50;21014;ATIVO;LANÇADO; 1.271,27 
;2024;mai;10/05/24;09/05/24;17/05/24;CONTRATO;OI - TELECOM GERAL - 0800;P 05/12;OI - 0800;17037122;956;4210309;O;CONECTIVIDADE;Telefonia;OI S.A.;Serviços de Telefonia;EQUIPLEX;76.535.764/0328-51;20119;ATIVO;LANÇADO; 292,24 
;2024;mai;10/05/24;09/05/24;17/05/24;CONTRATO;OI - TELECOM GERAL - DDR;P 05/12;OI - DDR;7043303;1006;4210309;0;0;Telefonia;OI S.A.;Serviços de Telefonia;EQUIPLEX;76.535.764/0328-51;20119;INATIVO;LANÇADO; 1.180,00 
